FlashID,PointID,I,V,T,PiraV,PiraT,,Power Curve [W],Pmpp [W],"Isc @ G1, T1 [A]","Voc @ G1, T1 [V]",,I Corrected [A],V Corrected [V],P Corrected [W],,Measured Parameters,,,,Irradiance [W/m2],TDUT [C],Voc [V],Isc [A],Pmpp [W],Vmpp [V],Impp [A],FF [%],Mod. Eff [%]
1662,97,1.511500001,16.73999977,23.79000092,0.073973298,23.20000076,,25.30250967,,,,,1.451745993,16.59071872,24.08550943,,,,,,,,,,,,,,
1662,98,1.511368156,16.76300049,23.79000092,0.073973298,23.20000076,,25.33506513,,,,,1.45161936,16.61371944,24.11679678,,,,,,,,,,,,,,
1662,99,1.511085033,16.78800011,23.79000092,0.073973298,23.20000076,,25.3680957,,,,,1.451347431,16.63871906,24.14856215,,,,,,,,,,,,,,
1662,100,1.510428309,16.84399986,23.79000092,0.073973298,23.20000076,,25.44165424,,,,,1.450716669,16.69471881,24.21930686,,,,,,,,,,,,,,
1662,101,1.509813547,16.87800026,23.79000092,0.073973298,23.20000076,,25.48263344,,,,,1.45012621,16.72871921,24.25875418,,,,,,,,,,,,,,
1662,102,1.509299994,16.90600014,23.79000092,0.073973298,23.20000076,,25.5162259,,,,,1.449632959,16.75671909,24.29109227,,,,,,,,,,,,,,
1662,103,1.509257793,16.93000031,23.79000092,0.073973298,23.20000076,,25.5517349,,,,,1.449592427,16.78071925,24.32520355,,,,,,,,,,,,,,
1662,104,1.509153366,16.97900009,23.79000092,0.073973298,23.20000076,,25.62391514,,,,,1.449492128,16.82971904,24.39454526,,,,,,,,,,,,,,
1662,105,1.508846164,17.02000046,23.79000092,0.073973298,23.20000076,,25.6805624,,,,,1.44919707,16.87071941,24.44899714,,,,,,,,,,,,,,
1662,106,1.508490443,17.06500053,23.79000092,0.073973298,23.20000076,,25.74239022,,,,,1.448855412,16.91571948,24.50843173,,,,,,,,,,,,,,
1662,107,1.508009434,17.1060009,23.79000092,0.073973298,23.20000076,,25.79601073,,,,,1.448393418,16.95671985,24.56000143,,,,,,,,,,,,,,
1662,108,1.507265925,17.16699982,23.79000092,0.073973298,23.20000076,,25.87523387,,,,,1.447679303,17.01771877,24.63619925,,,,,,,,,,,,,,
1662,109,1.506800056,17.20299912,23.79000092,0.073973298,23.20000076,,25.92148002,,,,,1.447231851,17.05371806,24.68068395,,,,,,,,,,,,,,
1662,110,1.506388068,17.23200035,23.79000092,0.073973298,23.20000076,,25.95807972,,,,,1.44683615,17.0827193,24.71589583,,,,,,,,,,,,,,
1662,111,1.505763888,17.27499962,23.79000092,0.073973298,23.20000076,,26.0120706,,,,,1.446236646,17.12571857,24.76784178,,,,,,,,,,,,,,
1662,112,1.504493833,17.35099983,23.79000092,0.073973298,23.20000076,,26.10447224,,,,,1.445016799,17.20171878,24.85677262,,,,,,,,,,,,,,
1662,113,1.504099965,17.37400055,23.79000092,0.073973298,23.20000076,,26.13223362,,,,,1.444638503,17.2247195,24.88349298,,,,,,,,,,,,,,
1662,114,1.503700018,17.40099907,23.79000092,0.073973298,23.20000076,,26.16588261,,,,,1.444254366,17.25171802,24.91586908,,,,,,,,,,,,,,
1662,115,1.503378391,17.42700005,23.79000092,0.073973298,23.20000076,,26.19937529,,,,,1.443945455,17.277719,24.94808381,,,,,,,,,,,,,,
1662,116,1.503000021,17.45700073,23.79000092,0.073973298,23.20000076,,26.23787247,,,,,1.443582042,17.30771968,24.98511333,,,,,,,,,,,,,,
1662,117,1.502772331,17.4810009,23.79000092,0.073973298,23.20000076,,26.26996447,,,,,1.443363354,17.33171985,25.01596929,,,,,,,,,,,,,,
1662,118,1.502431274,17.50900078,23.79000092,0.073973298,23.20000076,,26.30607034,,,,,1.443035779,17.35971973,25.05069668,,,,,,,,,,,,,,
1662,119,1.50199604,17.54100037,23.79000092,0.073973298,23.20000076,,26.34651309,,,,,1.442617752,17.39171932,25.08960302,,,,,,,,,,,,,,
1662,120,1.501402974,17.57299995,23.79000092,0.073973298,23.20000076,,26.38415439,,,,,1.442048131,17.4237189,25.12584129,,,,,,,,,,,,,,
1662,121,1.500800014,17.60499954,23.79000092,0.073973298,23.20000076,,26.42158355,,,,,1.441469008,17.45571849,25.16187721,,,,,,,,,,,,,,
1662,122,1.500065446,17.64999962,23.79000092,0.073973298,23.20000076,,26.47615455,,,,,1.44076348,17.50071857,25.21439618,,,,,,,,,,,,,,
1662,123,1.499600053,17.6779995,23.79000092,0.073973298,23.20000076,,26.50992898,,,,,1.440316485,17.52871845,25.24690214,,,,,,,,,,,,,,
1662,124,1.499181867,17.70599937,23.79000092,0.073973298,23.20000076,,26.54451319,,,,,1.439914831,17.55671832,25.2801791,,,,,,,,,,,,,,
1662,125,1.498695135,17.73399925,23.79000092,0.073973298,23.20000076,,26.5778584,,,,,1.439447341,17.5847182,25.31227586,,,,,,,,,,,,,,
1662,126,1.498139501,17.76499939,23.79000092,0.073973298,23.20000076,,26.61444731,,,,,1.438913673,17.61571834,25.34749797,,,,,,,,,,,,,,
1662,127,1.497576118,17.79199982,23.79000092,0.073973298,23.20000076,,26.64487401,,,,,1.438372562,17.64271877,25.37680259,,,,,,,,,,,,,,
1662,128,1.496899962,17.82399941,23.79000092,0.073973298,23.20000076,,26.68074404,,,,,1.437723137,17.67471835,25.41135152,,,,,,,,,,,,,,
1662,129,1.496299982,17.85700035,23.79000092,0.073973298,23.20000076,,26.71942931,,,,,1.437146876,17.7077193,25.44859347,,,,,,,,,,,,,,
1662,130,1.495321631,17.90699959,23.79000092,0.073973298,23.20000076,,26.77672384,,,,,1.436207202,17.75771854,25.50376326,,,,,,,,,,,,,,
1662,131,1.494444609,17.95100021,23.79000092,0.073973298,23.20000076,,26.82677549,,,,,1.435364851,17.80171916,25.55196197,,,,,,,,,,,,,,
1662,132,1.493362069,17.99699974,23.79000092,0.073973298,23.20000076,,26.87603677,,,,,1.434325107,17.84771869,25.59943102,,,,,,,,,,,,,,
1662,133,1.492599964,18.02899933,23.79000092,0.073973298,23.20000076,,26.91008375,,,,,1.43359313,17.87971828,25.63224129,,,,,,,,,,,,,,
1662,134,1.491241455,18.08300018,23.79000092,0.073973298,23.20000076,,26.96611951,,,,,1.432288327,17.93371913,25.68625657,,,,,,,,,,,,,,
1662,135,1.48950088,18.14800072,23.79000092,0.073973298,23.20000076,,27.03146304,,,,,1.430616562,17.99871967,25.74926645,,,,,,,,,,,,,,
1662,136,1.487298131,18.21899986,23.79000092,0.073973298,23.20000076,,27.09708444,,,,,1.428500894,18.06971881,25.81260948,,,,,,,,,,,,,,
1662,137,1.485499978,18.27599907,23.79000092,0.073973298,23.20000076,,27.14899622,,,,,1.426773827,18.12671802,25.86272684,,,,,,,,,,,,,,
1662,138,1.480379462,18.43499947,23.79000092,0.073973298,23.20000076,,27.2907946,,,,,1.42185574,18.28571842,25.9996537,,,,,,,,,,,,,,
1662,139,1.478230357,18.48999977,23.79000092,0.073973298,23.20000076,,27.33247897,,,,,1.419791596,18.34071872,26.0399983,,,,,,,,,,,,,,
1662,140,1.475590229,18.55699921,23.79000092,0.073973298,23.20000076,,27.38252671,,,,,1.41725584,18.40771816,26.08844605,,,,,,,,,,,,,,
1662,141,1.472280383,18.62400055,23.79000092,0.073973298,23.20000076,,27.41975066,,,,,1.414076842,18.4747195,26.124673,,,,,,,,,,,,,,
1662,142,1.46944952,18.68099976,23.79000092,0.073973298,23.20000076,,27.45078613,,,,,1.411357891,18.53171871,26.15488743,,,,,,,,,,,,,,
1662,143,1.467377067,18.71800041,23.79000092,0.073973298,23.20000076,,27.46636454,,,,,1.409367367,18.56871936,26.17014712,,,,,,,,,,,,,,
1662,144,1.464383245,18.77099991,23.79000092,0.073973298,23.20000076,,27.48793775,,,,,1.4064919,18.62171886,26.19129673,,,,,,,,,,,,,,
1662,145,1.461069942,18.82900047,23.79000092,0.073973298,23.20000076,,27.51048662,,,,,1.403309581,18.67971942,26.21342924,,,,,,,,,,,,,,
1662,146,1.458480954,18.87100029,23.79000092,0.073973298,23.20000076,,27.52299451,,,,,1.400822944,18.72171924,26.22581387,,,,,,,,,,,,,,
1662,147,1.456377506,18.90500069,23.79000092,0.073973298,23.20000076,,27.53281776,,,,,1.398802652,18.75571964,26.23555037,,,,,,,,,,,,,,
1662,148,1.453628302,18.9449997,23.79000092,0.073973298,23.20000076,,27.53898773,,,,,1.396162131,18.79571864,26.2418706,,,,,,,,,,,,,,
1662,149,1.450186253,18.99500084,23.79000092,0.073973298,23.20000076,,27.54628908,,,,,1.392856157,18.84571979,26.24937683,,,,,,,,,,,,,,
1662,150,1.447356701,19.03499985,23.79000092,0.073973298,23.20000076,,27.55043458,,,,,1.390138465,18.8857188,26.25376414,,,,,,,,,,,,,,
1662,151,1.445471883,19.05999947,23.79000092,0.073973298,23.20000076,,27.55069331,,,,,1.38832816,18.91071842,26.25428289,,,,,,,,,,,,,,
1662,152,1.442952991,19.09300041,23.79000092,0.073973298,23.20000076,,27.55030204,,,,,1.385908846,18.94371936,26.25426825,,,,,,,,,,,,,,
1662,153,1.439835787,19.13100052,23.79000092,0.073973298,23.20000076,,27.54549918,,,,,1.382914875,18.98171947,26.2501022,,,,,,,,,,,,,,
1662,154,1.436871529,19.16699982,23.79000092,0.073973298,23.20000076,,27.54051633,,,,,1.380067802,19.01771877,26.24574135,,,,,,,,,,,,,,
1662,155,1.434426427,19.19400024,23.79000092,0.073973298,23.20000076,,27.53238119,,,,,1.377719363,19.04471919,26.23827839,,,,,,,,,,,,,,
1662,156,1.431437969,19.22699928,23.79000092,0.073973298,23.20000076,,27.52225681,,,,,1.374849047,19.07771823,26.22898274,,,,,,,,,,,,,,
1662,157,1.427728057,19.26499939,23.79000092,0.073973298,23.20000076,,27.50518015,,,,,1.371285799,19.11571834,26.21311309,,,,,,,,,,,,,,
1662,158,1.424800038,19.29500008,23.79000092,0.073973298,23.20000076,,27.49151685,,,,,1.368473533,19.14571903,26.20040976,,,,,,,,,,,,,,
1662,159,1.422888041,19.31800079,23.79000092,0.073973298,23.20000076,,27.48735229,,,,,1.366637122,19.16871974,26.19668399,,,,,,,,,,,,,,
1662,160,1.420470595,19.34499931,23.79000092,0.073973298,23.20000076,,27.47900269,,,,,1.364315246,19.19571826,26.18901108,,,,,,,,,,,,,,
1662,161,1.417618632,19.37599945,23.79000092,0.073973298,23.20000076,,27.46777784,,,,,1.361576029,19.2267184,26.1786389,,,,,,,,,,,,,,
1662,162,1.414775729,19.40399933,23.79000092,0.073973298,23.20000076,,27.4523073,,,,,1.358845514,19.25471828,26.16418757,,,,,,,,,,,,,,
1662,163,1.410046816,19.45000076,23.79000092,0.073973298,23.20000076,,27.42541165,,,,,1.354303549,19.30071971,26.1390332,,,,,,,,,,,,,,
1662,164,1.406430244,19.4829998,23.79000092,0.073973298,23.20000076,,27.40148017,,,,,1.350829951,19.33371875,26.11656635,,,,,,,,,,,,,,
